sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),undefined measure 1,undefined measure 2,undefined measure 3,undefined measure 4,undefined measure 5,undefined measure 6,undefined measure 7,undefined measure 8,target
5.1,3.5,1.4,0.2,6.6,2.8,4.9,3.1,5.0,5.7,0.1,5.2,setosa
4.9,3.0,1.4,0.2,6.7,3.8,3.5,2.8,5.4,5.0,4.2,4.5,setosa
4.7,3.2,1.3,0.2,3.8,0.5,5.7,4.7,4.6,5.0,3.6,4.4,setosa
4.6,3.1,1.5,0.2,4.5,4.6,2.9,5.4,4.6,6.7,2.7,3.3,setosa
5.0,3.6,1.4,0.2,5.9,3.7,4.6,3.5,5.0,6.5,2.8,3.8,setosa
5.4,3.9,1.7,0.4,5.5,2.7,6.2,2.9,5.1,5.6,3.9,4.8,setosa
4.6,3.4,1.4,0.3,5.8,3.6,5.6,2.3,4.5,7.0,0.9,4.5,setosa
5.0,3.4,1.5,0.2,4.9,1.7,6.0,3.6,4.9,4.7,2.2,4.6,setosa
4.4,2.9,1.4,0.2,6.7,1.9,5.1,3.6,4.9,6.9,1.5,5.3,setosa
4.9,3.1,1.5,0.1,6.6,2.1,6.7,3.3,3.9,5.7,5.3,3.7,setosa
5.4,3.7,1.5,0.2,5.9,0.2,6.4,3.9,4.8,8.8,4.1,4.4,setosa
4.8,3.4,1.6,0.2,6.9,3.8,5.8,4.0,4.8,3.8,0.1,4.7,setosa
4.8,3.0,1.4,0.1,6.3,4.3,6.4,4.0,4.8,4.3,1.0,4.1,setosa
4.3,3.0,1.1,0.1,4.9,1.8,6.2,3.6,5.5,5.6,2.8,5.6,setosa
5.8,4.0,1.2,0.2,6.2,3.2,4.6,3.0,4.4,5.6,2.4,5.2,setosa
5.7,4.4,1.5,0.4,4.8,2.4,3.4,4.2,4.5,7.3,1.2,4.8,setosa
5.4,3.9,1.3,0.4,6.7,3.1,5.7,3.8,3.7,4.4,5.5,5.9,setosa
5.1,3.5,1.4,0.3,5.7,1.9,5.9,4.4,4.7,6.1,3.4,3.5,setosa
5.7,3.8,1.7,0.3,5.6,1.5,6.6,4.3,4.7,6.4,3.6,4.6,setosa
5.1,3.8,1.5,0.3,5.1,4.1,4.0,2.8,4.7,5.9,2.1,4.8,setosa
5.4,3.4,1.7,0.2,7.0,2.6,4.0,2.8,5.4,4.0,3.9,3.9,setosa
5.1,3.7,1.5,0.4,5.6,5.4,5.8,3.3,5.3,6.7,2.5,4.8,setosa
4.6,3.6,1.0,0.2,5.4,2.8,5.1,3.1,4.9,6.5,2.6,3.8,setosa
5.1,3.3,1.7,0.5,5.4,1.5,2.7,4.3,4.7,5.8,3.8,5.1,setosa
4.8,3.4,1.9,0.2,6.3,4.3,5.7,4.0,5.4,5.3,0.8,5.3,setosa
5.0,3.0,1.6,0.2,6.2,3.5,2.8,4.5,4.9,5.4,5.1,4.8,setosa
5.0,3.4,1.6,0.4,6.2,3.7,4.0,4.0,4.5,5.0,3.2,3.2,setosa
5.2,3.5,1.5,0.2,6.2,4.3,6.9,3.9,4.1,5.8,4.6,3.9,setosa
5.2,3.4,1.4,0.2,8.0,1.8,7.6,4.6,4.7,5.1,1.6,5.0,setosa
4.7,3.2,1.6,0.2,5.4,2.5,3.6,4.1,5.2,4.2,1.8,4.6,setosa
